id,reporter_id,reporter_reputation,region_name,coast_split,hazard_type,severity,description,text_lang,latitude,longitude,gps_accuracy,device_timestamp,server_timestamp,time_delta_sec,exif_valid,exif_lat,exif_lng,media_url,media_hash,wave_height_m,wind_speed_kmh,ground_truth
rep_0001,usr_025,0.2,"Panaji, Goa",west,high-waves,Severe,"Observed water activity near coast in Panaji, Goa.",hi,15.490786,73.811638,22.0,2025-08-18T03:00:00,2025-08-18T04:47:00,6420,0,,,https://example.com/media_0.jpg,afec69f2a44f15aab4d78b51e429bdb12731690af83a1c7218d44ca76ec9f4e9,1.37,28.1,REJECTED
rep_0002,usr_023,0.88,"Porbandar, Gujarat",west,high-waves,High,જેટી પાસે ભારે મોજાના કારણે નુકસાન.,gu,21.648729,69.609348,20.55,2025-08-16T21:23:09.888102,2025-08-16T21:52:09.888102,1740,1,21.643994,69.612851,https://example.com/media_1.jpg,00c67c88370731ef62700956bf46faa4272e633c3dbea0f3e69ca1d8dde68564,3.96,72.2,VERIFIED
rep_0003,usr_047,0.88,"Visakhapatnam, Andhra Pradesh",east,tsunami,Low,సముద్రపు నీరు అకస్మాత్తుగా వెనక్కి తగ్గింది.,te,17.701538,83.22102,12.73,2025-08-17T16:09:23.345470,2025-08-17T17:25:23.345470,4560,0,,,,,3.5,53.5,VERIFIED
rep_0004,usr_028,0.45,"Visakhapatnam, Andhra Pradesh",east,coastal-erosion,Low,బీచ్ రిసార్ట్ ఆఫర్లు మరియు బుకింగ్.,te,18.013536,83.405387,109.3,2025-08-17T08:00:00,2025-08-17T12:50:00,17400,0,,,https://example.com/media_3.jpg,180c44c4b6fb1fa3c3e2efd4333b3de54d0f3cb95c94d69b6efa9636a1177e80,0.53,19.2,REJECTED
rep_0005,usr_004,0.6,"Kozhikode, Kerala",west,coastal-erosion,Severe,Hotel discount booking promotion near seaside.,en,11.445086,75.904594,63.86,2025-08-17T13:00:00,2025-08-17T15:31:00,9060,0,,,,,0.45,18.0,REJECTED
rep_0006,usr_006,0.88,"Surat, Gujarat",west,flood,High,દરિયાના પાણી નીચાણવાળા વિસ્તારોમાં ઘૂસી ગયા છે.,gu,21.123824,72.652588,14.24,2025-08-17T19:45:24.809601,2025-08-17T20:03:24.809601,1080,0,,,https://example.com/media_5.jpg,129e2937f8f8dee8bf2df9cf2e6203739307d8ae447ff12a1d6524cc4b1c86b9,1.3,74.5,VERIFIED
rep_0007,usr_050,0.88,"Nagapattinam, Tamil Nadu",east,high-waves,Moderate,மீன்பிடி தளத்தில் அலைகளின் சீற்றம் அதிகம்.,ta,10.714247,79.859948,11.01,2025-08-18T06:44:58.707221,2025-08-18T06:51:58.707221,420,1,10.713538,79.863189,,,1.81,46.1,VERIFIED
rep_0008,usr_001,0.45,"Mumbai, Maharashtra",west,flood,Severe,समुद्राचे पाणी सखल भागात भरले.,mr,18.874586,72.871054,119.44,2025-08-16T23:13:17.440758,2025-08-16T23:34:17.440758,1260,1,18.873923,72.874316,https://example.com/media_7.jpg,b2a8935767bc91e142047bcdb06127c8162a2e22c6d43bde9e2098ccd7f33a7b,1.34,62.2,VERIFIED
rep_0009,usr_022,0.88,"Nagapattinam, Tamil Nadu",east,high-waves,High,Dangerous rough waves exceeding 4 meters breaching sea wall near fishing jetty.,en,10.750582,79.852979,16.15,2025-08-17T14:25:31.833005,2025-08-17T17:06:31.833005,9660,1,10.753343,79.848924,https://example.com/media_8.jpg,4bcec2de248469628b5c2b2ebe1d31f58275556595d3a8dbc4419ad6ba251143,2.05,47.5,VERIFIED
rep_0010,usr_032,0.2,"Mangalore, Karnataka",west,flood,High,"Observed water activity near coast in Mangalore, Karnataka.",en,12.895196,74.893736,52.95,2025-08-15T18:00:00,2025-08-15T18:44:00,2640,0,,,,,1.72,29.1,VERIFIED
rep_0011,usr_035,0.45,"Chennai, Tamil Nadu",east,flood,Low,High tide flooding entered coastal market area.,en,13.044594,80.273839,104.2,2025-08-16T01:54:33.610549,2025-08-16T02:13:33.610549,1140,1,13.045365,80.276292,,,3.26,66.0,VERIFIED
